2,12,6/4/2024
3,4,6/23/2024
4,47,3/28/2024
5,29,2/6/2024
6,44,7/19/2024
7,39,1/7/2025
8,46,11/21/2024
9,37,12/8/2024
10,8,8/6/2024
11,22,10/20/2024
12,35,12/14/2024
13,41,6/7/2024
14,24,10/19/2024
15,15,9/15/2024
16,48,5/31/2024
17,31,7/4/2024
18,25,1/28/2025
19,19,12/11/2024
20,40,7/13/2024
21,38,9/8/2024
22,11,3/19/2024
23,6,10/24/2024
24,7,11/17/2024
25,21,9/28/2024
26,3,1/14/2025
27,10,12/4/2024
28,44,6/21/2024
29,13,10/26/2024
30,39,4/26/2024
31,31,7/11/2024
32,15,5/7/2024
33,26,6/11/2024
34,11,4/3/2024
35,41,1/18/2025
36,14,8/1/2024
37,2,9/10/2024
38,39,6/22/2024
39,5,7/14/2024
40,27,9/5/2024
41,43,11/27/2024
42,42,5/31/2024
43,25,1/31/2025
44,20,12/2/2024
45,38,4/16/2024
46,24,3/2/2024
47,48,5/10/2024
48,30,11/24/2024
49,33,10/26/2024
50,43,12/7/2024
51,16,9/26/2024
52,11,9/17/2024
53,38,7/12/2024
54,2,6/9/2024
55,40,4/11/2024
56,30,8/19/2024
57,36,8/28/2024
58,10,6/18/2024
59,7,12/15/2024
60,46,12/10/2024
61,42,12/21/2024
62,21,9/9/2024
63,33,3/9/2024
64,29,7/17/2024
65,18,2/25/2024
66,39,12/23/2024
67,42,6/22/2024
68,37,3/24/2024
69,3,9/16/2024
70,44,4/2/2024
71,22,11/15/2024
72,13,5/16/2024
73,34,2/7/2024
74,34,4/26/2024
75,25,5/20/2024
76,16,12/22/2024
77,19,7/26/2024
78,12,3/5/2024
79,15,10/19/2024
80,14,5/4/2024
81,11,7/30/2024
82,40,2/22/2024
83,29,1/6/2025
84,30,4/21/2024
85,24,5/10/2024
86,46,6/17/2024
87,9,1/3/2025
88,3,1/8/2025
89,49,6/9/2024
90,28,5/8/2024
91,8,2/4/2025
92,48,10/15/2024
93,31,2/7/2024
94,19,3/7/2024
95,23,5/20/2024
96,42,8/23/2024
97,25,1/24/2025
98,20,4/7/2024
99,24,1/17/2025
100,8,2/2/2025
101,36,4/22/2024
102,11,4/26/2024
103,17,8/6/2024
104,14,12/4/2024
105,48,12/18/2024
106,46,1/31/2025
107,37,9/19/2024
108,32,5/4/2024
109,12,3/24/2024
110,47,3/21/2024
111,8,8/25/2024
112,13,1/30/2025
113,28,9/20/2024
114,14,12/27/2024
115,3,6/25/2024
116,17,9/14/2024
117,27,5/19/2024
118,48,5/20/2024
119,31,9/30/2024
120,10,2/21/2024
121,21,5/24/2024
122,38,11/3/2024
123,50,11/13/2024
124,15,9/30/2024
125,10,2/16/2024
126,41,10/26/2024
127,40,10/17/2024
128,18,11/11/2024
129,4,5/16/2024
130,6,9/14/2024
131,23,2/25/2024
132,43,7/6/2024
133,28,10/2/2024
134,26,9/11/2024
135,9,6/22/2024
136,10,2/1/2025
137,4,1/31/2025
138,28,3/25/2024
139,49,4/21/2024
140,50,9/27/2024
141,7,7/19/2024
142,46,3/15/2024
143,45,2/26/2024
144,21,1/20/2025
145,38,1/18/2025
146,23,11/29/2024
147,26,11/15/2024
148,12,12/15/2024
149,50,11/12/2024
150,2,12/29/2024
151,21,4/25/2024
152,42,5/31/2024
153,10,10/1/2024
154,46,5/14/2024
155,7,1/20/2025
156,11,12/3/2024
157,36,11/27/2024
158,24,2/21/2024
159,43,12/14/2024
160,3,6/20/2024
161,34,1/14/2025
162,8,7/4/2024
163,10,4/12/2024
164,28,1/6/2025
165,16,8/8/2024
166,36,1/30/2025
167,21,12/21/2024
168,31,3/3/2024
169,7,5/28/2024
170,24,3/3/2024
171,14,11/16/2024
172,38,6/19/2024
173,12,9/21/2024
174,49,4/24/2024
175,48,10/30/2024
176,45,10/21/2024
177,21,11/10/2024
178,50,2/8/2024
179,17,12/2/2024
180,43,2/28/2024
181,11,9/5/2024
182,10,7/14/2024
183,11,11/5/2024
184,13,4/15/2024
185,3,9/22/2024
186,17,10/5/2024
187,19,9/27/2024
188,46,6/24/2024
189,18,4/25/2024
190,40,1/1/2025
191,29,6/8/2024
192,43,7/2/2024
193,5,10/20/2024
194,19,5/27/2024
195,17,8/17/2024
196,12,3/12/2024
197,8,7/6/2024
198,29,4/20/2024
199,14,11/23/2024
200,25,4/6/2024
